id,score
ESC-0003,68.28
ESC-0011,44.77
ESC-0013,52.39
ESC-0015,54.55
ESC-0017,76.0
ESC-0019,23.88
ESC-0020,37.42
ESC-0021,12.35
ESC-0022,14.7
ESC-0023,44.22
ESC-0024,68.48
ESC-0027,40.35
ESC-0028,63.55
ESC-0030,58.05
ESC-0031,71.4
ESC-0034,48.97
ESC-0035,12.27
ESC-0037,70.51
ESC-0038,57.86
ESC-0039,29.13
ESC-0040,44.8
ESC-0041,35.84
ESC-0042,27.84
ESC-0043,49.03
ESC-0045,24.65
ESC-0046,85.94
ESC-0048,40.47
ESC-0049,6.33
ESC-0052,27.66
ESC-0053,57.82
ESC-0054,31.43
ESC-0056,30.91
ESC-0057,26.25
ESC-0063,52.01
ESC-0067,53.86
ESC-0068,17.01
ESC-0071,39.51
ESC-0077,45.26
ESC-0079,67.33
ESC-0080,63.85
ESC-0082,52.35
ESC-0085,22.47
ESC-0087,54.18
ESC-0088,16.83
ESC-0089,21.85
ESC-0090,54.7
ESC-0092,75.95
ESC-0095,70.62
ESC-0099,17.11
ESC-0100,56.76
ESC-0101,13.93
ESC-0102,42.08
ESC-0107,30.35
ESC-0108,16.93
ESC-0109,83.18
ESC-0110,25.55
ESC-0111,50.09
ESC-0112,47.29
ESC-0113,32.27
ESC-0114,74.58
